train_acc,train_loss,val_acc,val_loss,learning_rate
0.08050325532289283,3.42461691027958,0.11564625850340136,3.305818703637194,0.001
0.18320722623027744,2.961656985989655,0.31081398076471967,2.339294294812786,0.001
0.3948618687313039,2.0308322987010734,0.6134177809054656,1.2079969973706488,0.001
0.5656636752888733,1.4064461311524625,0.7708186722965048,0.694971722008577,0.001
0.6884568009853951,1.0309959559458506,0.8688716866056767,0.39426346679232016,0.001
0.7429468003988504,0.8529888790163717,0.9270466807412621,0.22770434617996216,0.001
0.7775236084227813,0.7430592544977929,0.9265775275627492,0.2204048448978965,0.001
0.7994017244413162,0.675456566501961,0.9767769176636172,0.0808647361431104,0.001
0.8145052495747551,0.6242270233707178,0.9699741965751818,0.08878846972513554,0.001
0.8210745498269694,0.5961678821251047,0.9692704668074126,0.09436745614981029,0.001
