train_acc,train_loss,val_acc,val_loss,learning_rate
0.05038418675582146,3.7035948694422003,0.07154585972319963,3.570704880045421,0.001
0.09865681271628834,3.4575586506489957,0.12432559230588787,3.3557336259244095,0.001
0.12997829784738107,3.3115903054283797,0.15787004456955195,3.197872254385877,0.001
0.2152618921930905,3.011417880933383,0.2730471498944405,2.7004927307812134,0.001
0.3485248401665787,2.3664388978079463,0.46704198920947687,1.9517687559127808,0.001
0.5140477447357616,1.6764582730411144,0.5857377433732114,1.3584388227605109,0.001
0.6488943633057658,1.170212401656176,0.7203847056063805,0.9625670020260028,0.001
0.7326529415214968,0.8746770763218626,0.747595589960122,0.8396224735388115,0.001
0.795823801982521,0.6773044652260198,0.7813746188130425,0.6977544684908283,0.001
0.8333040061000645,0.5529206879576494,0.8566737039643444,0.5004878635726758,0.001
