train_acc,train_loss,val_acc,val_loss,learning_rate
0.05531116194498211,3.5783871595332686,0.06450856204550785,3.4572062812634368,0.001
0.08246817995190334,3.4066456578644027,0.10321369927281257,3.340474972084387,0.001
0.11402428294914657,3.263959496208791,0.18555008210180624,2.976429398380109,0.001
0.25860754296439675,2.479847270451235,0.3879896786300727,1.849321961402893,0.001
0.4844858936007977,1.5559051918626279,0.5695519587145202,1.3153905423719492,0.001
0.6842043521614171,0.9376508694016532,0.7792634295097349,0.64730669135478,0.001
0.8520734353921051,0.44891766255044757,0.8728594886230354,0.3611944173254184,0.001
0.9242770836999238,0.23455547784151656,0.9408866995073891,0.18782997998728682,0.001
0.9554226054314036,0.14349801691897798,0.9573070607553367,0.13498984891643276,0.001
0.9750131972549709,0.07846905966899759,0.9704433497536946,0.09650164830095287,0.001
