train_acc,train_loss,val_acc,val_loss,learning_rate
0.2824212563786732,2.6331736291392467,0.5125498475252169,1.6316811860497318,0.001
0.5140477447357616,1.5467131224910864,0.6448510438658221,1.0828592928487863,0.001
0.7358202827145287,0.7916087531641628,0.8200797560403472,0.5386826089069024,0.001
0.8623966215027274,0.4129960231957364,0.8820079756040348,0.35843575111965637,0.001
0.9119009912604845,0.26870282811953333,0.9010086793338025,0.30478567707894455,0.001
0.9455100005865447,0.16330508552910236,0.9394792399718508,0.1863780549880284,0.001
0.9589418734236612,0.12234405231442344,0.9413558526859019,0.19513701083166385,0.001
0.9674467710716171,0.0966496897917171,0.9498006098991321,0.1740569942700329,0.001
0.9758343597864978,0.07415276377161874,0.939010086793338,0.22056835369943684,0.001
0.981289225174497,0.05627951892232348,0.9601219798264133,0.1432684691442149,0.001
